Date,Close AAPL,Volume AAPL,Close MSFT,Volume MSFT,Close GOOG,Volume GOOG,Close AMZN,Volume AMZN,Close NVDA,Volume NVDA,Close BRKB,Volume BRKB,Close TSLA,Volume TSLA,Close META,Volume META,Close JNJ,Volume JNJ,Close V,Volume V,Daily Volume
January,169.86,105422300,308.74,47376570,131.01,27250900,155.48,76232700,223.97,55686975,313.09,5471295,335.91,74090970,209.33,32362695,181.08,8324090,216.16,7737415,439955910
February,169.83,85658752,298.72,36686873,114.60,33608210,153.78,88926526,177.27,62812642,316.35,5410300,258.31,91533789,198.55,34631152,177.88,6950405,202.34,8218937,454437589
March,165.31,94817395,295.74,31927573,112.55,31298782,154.28,70803739,172.82,53338152,338.35,5625996,236.17,96253917,176.63,31411969,175.86,7724309,203.05,6293570,429495404
April,166.82,84389780,288.81,31367170,112.84,32040030,151.3,73250400,161.8,54075430,342.65,4093405,247.76,87208575,167.46,28983380,175.37,5948325,207.33,5978455,407334950
May,148.43,114335252,266.72,35376285,118.29,18431928,112.47,107546476,181.11,51928976,312.92,4581833,297.19,78383923,169.36,24448319,169.06,6797010,211.26,5775457,447605462
June,139.79,83290466,259.49,29589157,106.37,25451561,112.86,84171480,163.15,62332314,286.95,4784286,289.53,59227276,153.08,29084671,164.55,7840595,195.24,6159348,391931157
July,149.67,72356270,262.21,26744590,99.91,23028110,117.03,66892630,122.77,60333225,282.59,3669150,230.77,82895855,133.99,34003735,164.92,6933200,184.47,7426385,384283150
August,166.88,65662591,280.56,20745982,94.21,32364478,137.43,50889086,148.88,21566817,294.57,3649343,197.67,85656078,105.51,66475704,173.7,6250083,205.75,7629943,390890109
September,153,99272514,247.71,27408885,94.11,24919876,123.21,57642266,163.71,42544861,275.46,4384910,159.18,131290028,117.34,32300838,177.33,6797467,209.71,723190,434793038
October,145.01,88959033,237.03,31963100,92.69,25469371,114.46,69491023,169.11,45820742,279.4,4044729,131.22,194304119,135.07,26708500,172.87,7426519,219.93,5912357,500099495
November,145.84,82135604,237.27,29299809,97,38146304,93.94,96911104,219.54,54054866,304.41,3912076,198.65,189452923,175.02,39667209,160.29,8721714,225.94,5263867,547565481
December,137.87,79796723,245.64,28159938,98.16,32012833,87.93,73771109,250.95,49363947,307.11,3785552,186.94,142055733,194.06,30159200,153.05,8050529,220.33,7307833,454463400
